date,symbol,open,high,low,close,volume
2024-05-30,USDC,1.0,1.017,0.982,1.0,20831.16
2024-05-31,USDC,1.0,1.023,0.9871,1.0,19924.72
2024-06-01,USDC,1.0,1.004,0.9832,1.0,97001.67
2024-06-02,USDC,1.0,1.01,0.9933,1.0,6731.94
2024-06-03,USDC,1.0,1.022,0.9824,1.0,22784.31
2024-06-04,USDC,1.0,1.008,0.9718,1.0,29749.32
2024-06-05,USDC,1.0,1.009,0.9895,1.0,21738.23
2024-06-06,USDC,1.0,1.012,0.9907,1.0,16078.62
2024-06-07,USDC,1.0,1.038,0.9873,1.0,28321.42
2024-06-08,USDC,1.0,1.004,0.9979,1.0,5753.58
2024-06-09,USDC,1.0,1.003,0.9927,1.0,5137.41
2024-06-10,USDC,1.0,1.01,0.9952,1.0,12117.28
2024-06-11,USDC,1.0,1.033,0.9813,1.0,31804.5
2024-06-12,USDC,1.0,1.026,0.9802,1.0,31159.75
2024-06-13,USDC,1.0,1.025,0.9922,1.0,23050.63
2024-06-14,USDC,1.0,1.02,0.9852,1.0,24685.21
2024-06-15,USDC,1.0,1.007,0.9732,0.9999,160963.43
2024-06-16,USDC,0.9999,1.008,0.9772,1.0,123596.72
2024-06-17,USDC,1.0,1.012,0.9787,1.0,28977.33
2024-06-18,USDC,1.0,1.022,0.9829,1.0,35269.78
2024-06-19,USDC,1.0,1.007,0.9736,1.0,277088.6
2024-06-20,USDC,1.0,1.025,0.9952,1.0,22563.63
2024-06-21,USDC,1.0,1.014,0.9881,1.0,22313.22
2024-06-22,USDC,1.0,1.007,0.9941,0.9999,92225.78
2024-06-23,USDC,0.9999,1.03,0.9962,1.0,128954.06
2024-06-24,USDC,1.0,1.051,0.9698,1.0,48183.11
2024-06-25,USDC,1.0,1.01,0.9747,1.0,31698.72
2024-06-26,USDC,1.0,1.027,0.9976,0.9999,23422.14
2024-06-27,USDC,0.9999,1.012,0.9828,1.0,22564.98
2024-06-28,USDC,1.0,1.031,0.9931,1.0,24288.98
2024-06-29,USDC,1.0,1.004,0.9902,1.0,9215.98
2024-06-30,USDC,1.0,1.004,0.9674,1.0,12627.59
2024-07-01,USDC,1.0,1.015,0.9939,1.0,25708.16
2024-07-02,USDC,1.0,1.019,0.9905,1.0,20510.41
2024-07-03,USDC,1.0,1.034,0.9871,1.0,27369.5
2024-07-04,USDC,1.0,1.059,0.9945,1.0,40352.94
2024-07-05,USDC,1.0,1.015,0.9451,1.0,57499.61
2024-07-06,USDC,1.0,1.004,0.9617,0.9998,18762.69
2024-07-07,USDC,0.9998,1.046,0.9978,1.0,18405.2
2024-07-08,USDC,1.0,1.026,0.9577,1.0,43442.01
2024-07-09,USDC,1.0,1.004,0.9698,1.0,29452.82
2024-07-10,USDC,1.0,1.03,0.9902,0.9999,28061.09
2024-07-11,USDC,0.9999,1.037,0.9952,1.0,29765.25
2024-07-12,USDC,1.0,1.011,0.9768,1.0,27249.87
2024-07-13,USDC,1.0,1.011,0.9758,1.0,13965.89
2024-07-14,USDC,1.0,1.01,0.974,1.0,20085.12
2024-07-15,USDC,1.0,1.003,0.9371,1.0,43680.52
2024-07-16,USDC,1.0,1.005,0.9594,1.0,38856.07
2024-07-17,USDC,1.0,1.032,0.9965,1.0,28171.86
2024-07-18,USDC,1.0,1.018,0.9883,1.0,21903.43
2024-07-19,USDC,1.0,1.011,0.949,1.0,33758.59
2024-07-20,USDC,1.0,1.007,0.987,1.0,12566.17
2024-07-21,USDC,1.0,1.003,0.9659,1.0,18126.16
2024-07-22,USDC,1.0,1.014,0.9857,1.0,26716.55
