date,symbol,open,high,low,close,volume
2024-02-03,BNB,301.24,304.22,299.32,299.58,5016242.11
2024-02-04,BNB,299.58,306.38,295.86,304.59,11515671.2
2024-02-05,BNB,304.59,307.53,296.77,300.96,11440034.43
2024-02-06,BNB,300.96,305.26,301.51,302.76,9335609.65
2024-02-07,BNB,302.76,315.34,307.31,307.36,15013078.49
2024-02-08,BNB,307.36,321.75,313.05,319.22,25606036.21
2024-02-09,BNB,319.22,333.71,318.01,324.19,13351358.91
2024-02-10,BNB,324.19,329.17,320.52,323.29,5133902.66
2024-02-11,BNB,323.29,327.55,320.79,320.88,5131639.96
2024-02-12,BNB,320.88,334.57,321.58,328.03,12848890.46
2024-02-13,BNB,328.03,329.43,322.72,324.96,9966677.8
2024-02-14,BNB,324.96,342.48,330.92,334.24,9276797.07
2024-02-15,BNB,334.24,362.45,331.34,354.61,27501276.65
2024-02-16,BNB,354.61,367.28,353.93,360.6,21081390.29
2024-02-17,BNB,360.6,361.58,351.3,352.95,14025176.45
2024-02-18,BNB,352.95,360.07,349.54,349.7,9977048.18
2024-02-19,BNB,349.7,354.03,346.83,351.7,16612281.37
2024-02-20,BNB,351.7,363.9,353.19,354.6,17689169.12
2024-02-21,BNB,354.6,381.7,350.69,379.31,41581127.42
2024-02-22,BNB,379.31,385.25,372.12,382.38,30533966.47
2024-02-23,BNB,382.38,380.83,368.4,375.56,21666145.77
2024-02-24,BNB,375.56,389.13,378.76,381.65,12762809.26
2024-02-25,BNB,381.65,390.75,379.37,388.53,16736641.5
2024-02-26,BNB,388.53,427.75,396.13,401.86,33564674.47
2024-02-27,BNB,401.86,422.1,392.2,394.88,30302814.44
2024-02-28,BNB,394.88,441.8,414.23,415.17,44508024.71
2024-02-29,BNB,415.17,416.63,393.08,399.56,31535156.29
2024-03-01,BNB,399.56,418.16,403.62,407.74,13512629.01
2024-03-02,BNB,407.74,413.67,404.68,411.19,14109473.93
2024-03-03,BNB,411.19,422.79,413.12,414.77,14462083.4
2024-03-04,BNB,414.77,451.24,418.57,419.19,32115142.33
2024-03-05,BNB,419.19,407.33,384.1,394.5,37535777.86
2024-03-06,BNB,394.5,431.6,402.64,429.49,38010328.33
2024-03-07,BNB,429.49,476.33,431.22,475.19,42885129.76
2024-03-08,BNB,475.19,495.91,471.74,487.03,47813026.54
2024-03-09,BNB,487.03,495.28,481.31,489.12,23476324.5
